Año;Mes;Organismo;Evento;Entradas;Clasificación
2018;Enero;Cineteca;Amazona;10;Cultura General
2018;Enero;Cineteca;CICLO DOCMA: El Becerro Pintado + Oírse;9;Documental
2018;Enero;Cineteca;CICLO LA CÁMARA COMO ESCRITURA. PRIMO LEJANO;5;Cine y Audiovisual
2018;Enero;Cineteca;DOCSBARCELONA DEL MES. Machines;10;Documental
2018;Enero;Cineteca;El Séptimo De Cineteca. Muziko;2;Cine y Audiovisual
2018;Enero;Cineteca;El Viaje De Khadija;13;Cine y Audiovisual
2018;Enero;Cineteca;ESTRENOS DE CINETECA. Kedi (Gatos De Estambul);14;Cine y Audiovisual
2018;Enero;Cineteca;FESTIVAL CINE CANADIENSE DE MADRID: Les Mauvaises Herbes;14;Cine y Audiovisual
2018;Enero;Cineteca;FESTIVAL CINE CANADIENSE DE MADRID:Et Au Pire, on Se Mariera;15;Cine y Audiovisual
2018;Enero;Cineteca;La Soledad;14;Cultura General
2018;Enero;Cineteca;MUESTRA DOC COLOMBIANA: Un Tigre De Papel;4;Documental
2018;Enero;Cineteca;PREMIOS DÍAS DE CINE: ¡lumiere! COMIENZA LA AVENTURA;2;Documental
2018;Enero;Cineteca;PREMIOS DÍAS DE CINE: I AM not YOUR NEGRO;3;Documental
2018;Enero;Cineteca;Recomendado Por... Emelina;9;Cultura General
2018;Enero;Cineteca;Recomendado Por... Stranger in Paradise;5;Cultura General
2018;Enero;Cineteca;Retrospectiva Del Grupo De Cali: Pura Sangre;3;Cine y Audiovisual
2018;Enero;Cineteca;Retrospectiva Del Grupo De Cali: Sesión De Cortos I;3;Cine y Audiovisual
2018;Enero;Cineteca;Retrospectiva Del Grupo De Cali: Sesión De Cortos III;1;Cine y Audiovisual
2018;Enero;Cineteca;Retrospectiva Del Grupo De Cali: Soplo De Vida;2;Cine y Audiovisual
2018;Enero;Conde Duque;Sin Beneficiarios;0;Cultura General
2018;Enero;Fernán Gómez;Crimen y Telón;240;Teatro y Escénicas
2018;Enero;Fernán Gómez;El Círculo De Hierro (Gustavo Adolfo Bécquer);24;Literatura y Poesía
2018;Enero;Fernán Gómez;Envidia De La Luz;83;Cultura General
2018;Enero;Fernán Gómez;SOLITUDES De KULUNKA TEATRO;27;Teatro y Escénicas
2018;Enero;Fernán Gómez;Vd. Tiene Ojos De Mujer Fatal..en La Radio;107;Teatro y Escénicas
2018;Enero;Naves Matadero;Deadtown - The Forman Brother's Wild West Show;37;Teatro y Escénicas
2018;Enero;Teatro Circo Price;ARKANO vs DTOKE - Final Round;114;Música y Conciertos
2018;Enero;Teatro Circo Price;Circo Price en Navidad: Los Viajes De Marco y Pili;42;Infantil / Familiar
2018;Enero;Teatro Español;El Ángel Exterminador;1;Música y Conciertos
2018;Enero;Teatro Español;The Black Apple y Los Párpados Sellados;1;Teatro y Escénicas
2018;Enero;Teatro Español;El Ángel Exterminador;283;Literatura y Poesía
2018;Enero;Teatro Español;Samabá Samabé;32;Cultura General
2018;Enero;Teatro Español;The Black Apple y Los Párpados Sellados;136;Literatura y Poesía
2018;Febrero;Cineteca;CICLO DOCMA: El Milagro De San Lázaro;2;Documental
2018;Febrero;Cineteca;Did you Wonder Who Fired the Gun?;15;Cine y Audiovisual
2018;Febrero;Cineteca;DOCSBARCELONA DEL MES. La Hora De Los Deberes;6;Documental
2018;Febrero;Cineteca;El Mar Nos Mira De Lejos;11;Cine y Audiovisual
2018;Febrero;Cineteca;El Patio De Mi Casa;5;Teatro y Escénicas
2018;Febrero;Cineteca;Ghost Hunting;7;Documental
