Año,Mes,Entradas
2018,Enero,1265
2018,Febrero,2525
2018,Marzo,4169
2018,Abril,4843
2018,Mayo,4942
2018,Junio,2939
2018,Julio,3989
2018,Agosto,0
2018,Septiembre,4301
2018,Octubre,7640
2018,Noviembre,8856
2018,Diciembre,7011
2019,Enero,6647
2019,Febrero,8294
2019,Marzo,5343
2019,Abril,8868
2019,Mayo,7285
2019,Junio,4328
2019,Julio,2015
2019,Agosto,0
2019,Septiembre,4447
2019,Octubre,7707
2019,Noviembre,7084
2019,Diciembre,6922
2020,Enero,5089
2020,Febrero,6647
2020,Marzo,1493
2020,Abril,0
2020,Mayo,0
2020,Junio,0
2020,Julio,0
2020,Agosto,0
2020,Septiembre,2783
2020,Octubre,4364
2020,Noviembre,3408
2020,Diciembre,3936
2021,Enero,1639
2021,Febrero,2170
2021,Marzo,3316
2021,Abril,2811
2021,Mayo,2697
2021,Junio,1701
2021,Julio,127
2021,Agosto,20
2021,Septiembre,1456
2021,Octubre,4589
2021,Noviembre,5001
2021,Diciembre,3058
2022,Enero,3345
2022,Febrero,4122
2022,Marzo,3939
2022,Abril,2791
2022,Mayo,3831
2022,Junio,1812
2022,Julio,1291
2022,Agosto,837
2022,Septiembre,2194
2022,Octubre,1734
2022,Noviembre,3141
2022,Diciembre,2468
2023,Enero,2603
2023,Febrero,3386
2023,Marzo,3233
2023,Abril,2305
2023,Mayo,2778
2023,Junio,2536
2023,Julio,1136
2023,Agosto,1377
2023,Septiembre,2374
2023,Octubre,2086
2023,Noviembre,3557
2023,Diciembre,2099
2024,Enero,2058
2024,Febrero,3622
2024,Marzo,3295
2024,Abril,2546
2024,Mayo,2055
2024,Junio,1606
2024,Julio,966
2024,Agosto,1009
2024,Septiembre,936
2024,Octubre,2547
2024,Noviembre,2517
2024,Diciembre,1943
2025,Enero,2438
2025,Febrero,3144
2025,Marzo,2581
2025,Abril,2312
2025,Mayo,2367
2025,Junio,2838
